holdings,shares
HFC,4120161
HOLX,7246123
HBCP,264431
HOMB,4106009
HD,30356196
HMST,578692
HTBI,399852
FIXX,775618
HON,19791338
HOFT,299786
HOOK,420629
HOPE,3231721
HMN,1128358
HBNC,1080973
HZN,622259
HZNP,6225017
HRL,7577403
HST,19920743
TWNK,3259691
HOTH,8642
HMHC,3002427
HLI,1438266
HWCC,438500
HOV,128819
HBMD,413064
HHC,1227806
HWM,11013842
HPQ,38722495
HTGM,34900
HUBG,876930
HUBB,1531018
HUBS,1229484
HSON,66260
HPP,4302232
HDSN,884344
HUM,3732510
HGEN,950100
HBAN,28853550
HII,1140801
HUN,5600083
HURC,238220
HURN,649109
HBP,622851
HVBC,26133
H,1090884
HYMC,1088611
HYFM,224096
HYLN,2606356
HYRE,506771
HY,285490
IIIV,234363
IAA,3795608
IAC,2129268
ICAD,656204
ICFI,490417
ICHR,766517
ICUI,558880
IDA,1419152
IDYA,431099
INVE,583834
IDRA,777895
IEX,2135642
IDXX,2404080
IDT,757069
IEC,419740
IESC,215397
IROQ,46727
IGMS,261499
IHRT,1684477
INFO,10120298
IIVI,2925108
ITW,8032307
ILMN,4116729
ISNS,79211
IMRA,117914
IMBI,302160
IMMR,556772
ICCC,66289
IMUX,447880
IMGN,5333698
IMNM,84073
IMVT,1104214
IMH,244016
PI,468670
NARI,538286
INCY,5246252
ICD,40118
IHC,125307
IRT,2551112
INDB,919274
IBCP,593087
IBTX,1024673
GRIF,45251
ILPT,1889696
INFN,4562478
INFI,2004891
III,1636821
IEA,482908
INFU,623780
IR,10597519
NGVT,1162058
IMKTA,381956
INGR,1795516
INBX,211473
INMB,206650
INOD,759772
IOSP,679681
