tickers,shares,,,,,
BAMI,549060,,,,,
BBD,810360,,,,,
BBDC4,1073029,,,,,
BBDC3,202265,,,,,
BPAC11,90281,,,,,
BCP,2568762,,,,,
PFDAVVNDA,38989,,,,,
CHILE,17333267,,,,,
BCI,16629,,,,,
SAB,2163148,,,,,
BBAJIOO,231638,,,,,
BBAS3,325820,,,,,
BRSR6,62398,,,,,
BES,428634,,,,,
BIDI4,57402,,,,,
BIDI11,9891,,,,,
BIDI3,55072,,,,,
BPAN4,106700,,,,,
SANB11,137300,,,,,
BSAC,18759,,,,,
BSANTANDER,19589525,,,,,
BSMXB,208700,,,,,
SAN,137759,,,,,
SAN,6524345,,,,,
CIB,37097,,,,,
PFBCOLOM,14574,,,,,
BCOLOMBIA,111855,,,,,
BXS,38430,,,,,
7832,78400,,,,,
BANDHANBNK,293134,,,,,
5195,13100,,,,,
BAND,7061,,,,,
BCP-F,377100,,,,,
BA-F,457000,,,,,
Foreign,372348,,,,,
BCH-F,297200,,,,,
BAM-F,602800,,,,,
BDMS-F,3299300,,,,,
BEM-F,2727957,,,,,
BLAND-F,4444600,,,,,
BLA-F,174440,,,,,
1020,143179,,,,,
1140,139549,,,,,
BAFL,506250,,,,,
BBKP,4919600,,,,,
BBCA,3791704,,,,,
BDMN,189500,,,,,
BHW,11626,,,,,
POLI,430998,,,,,
LUMI,585793,,,,,
BMRI,7565432,,,,,
MIL,216585,,,,,
BBNI,2766230,,,,,
BAC,2997879,,,,,
BANKBARODA,377709,,,,,
601169,521200,,,,,
601577,96300,,,,,
601838,32000,,,,,
601988,2842100,,,,,
3988,28465410,,,,,
1963,295500,,,,,
601328,1016300,,,,,
3328,2908058,,,,,
23,447072,,,,,
BGEO,12960,,,,,
600926,145400,,,,,
BOH,14147,,,,,
BANKINDIA,217534,,,,,
BIRG,345927,,,,,
8345,5100,,,,,
600919,324200,,,,,
2836,159737,,,,,
8369,28400,,,,,
BMO,248046,,,,,
8522,5800,,,,,
601009,208400,,,,,
BK,309374,,,,,
002142,156500,,,,,
BNS,466946,,,,,
NTB,18600,,,,,
8397,7180,,,,,
BOQ,252581,,,,,
8395,7600,,,,,
601229,503837,,,,,
BPI,724950,,,,,
8399,12400,,,,,
002936,128150,,,,,
OZK,45231,,,,,
PNBN,1448500,,,,,
BJBR,812600,,,,,
PEO,71174,,,,,
BBRI,20795090,,,,,
BRIS,1229514,,,,,
BBTN,1289700,,,,,
BTPS,728600,,,,,
BKT,252308,,,,,
BKU,34180,,,,,
BANR,12752,,,,,
BANPU-F,1510428,,,,,
BPP-F,215100,,,,,
BCVN,9850,,,,,
1050,233541,,,,,
600019,464000,,,,,
600973,32200,,,,,
BZUN,16759,,,,,
9991,16259,,,,,
BAP,119592,,,,,
BARC,6743490,,,,,
BAR,24185,,,,,
BRPT,9730200,,,,,
BAW,66387,,,,,
B,17126,,,,,
BDEV,406048,,,,,
0R22,214008,,,,,
ABX,488331,,,,,
BARN,1140,,,,,
BRES,670165,,,,,
4481,3100,,,,,
BAS,354547,,,,,
BANEP,5732,,,,,
BFIT,14223,,,,,
BSLN,3005,,,,,
1527,29200,,,,,
BATAINDIA,29358,,,,,
BHC,123528,,,,,
BAVA,21473,,,,,
BG,21474,,,,,
1302,9330,,,,,
BAX,197527,,,,,
6532,4957,,,,,
BAYN,381275,,,,,
BAYERCROP,4592,,,,,
BMW3,17686,,,,,
BMW,127702,,,,,
BYSD,33924,,,,,
BYW6,6589,,,,,
BBSE3,305539,,,,,
601992,524500,,,,,
2009,1331000,,,,,
BCE,116907,,,,,
BCPG-F,215212,,,,,
BDO,736534,,,,,
BESI,33598,,,,,
BPT,664200,,,,,
BECN,19088,,,,,
BEAM,14975,,,,,
002959,4000,,,,,
BEZ,229439,,,,,
Foreign,2664900,,,,,
BC8,10478,,,,,
CUERVO*,209000,,,,,
BDX,111608,,,,,
BBBY,48130,,,,,
BFSA,13095,,,,,
BEFB,7515,,,,,
BGA,122457,,,,,
000582,51700,,,,,
BEI,38176,,,,,
BEIJ B,30572,,,,,
002755,29500,,,,,
002151,15400,,,,,
600008,238800,,,,,
600376,243500,,,,,
694,680000,,,,,
2868,627000,,,,,
000931,53500,,,,,
1858,33250,,,,,
300034,12700,,,,,
002385,80000,,,,,
300212,20228,,,,,
300073,17900,,,,,
300251,70600,,,,,
1250,5760000,,,,,
392,290000,,,,,
371,2101015,,,,,
603588,49300,,,,,
300523,10500,,,,,
300182,102600,,,,,
579,646000,,,,,
300418,28400,,,,,
300010,24700,,,,,
000786,42100,,,,,
601588,238800,,,,,
588,118000,,,,,
300166,37500,,,,,
002271,58350,,,,,
300070,97800,,,,,
300072,58600,,,,,
002153,26400,,,,,
000959,142500,,,,,
000860,19699,,,,,
300383,26100,,,,,
002038,46500,,,,,
300271,18200,,,,,
600161,32739,,,,,
3613,86000,,,,,
300002,77900,,,,,
603613,6100,,,,,
603392,4300,,,,,
300324,80700,,,,,
000729,68900,,,,,
603267,5900,,,,,
000970,51400,,,,,
601816,222700,,,,,
BEKB,12070,,,,,
9974,3500,,,,,
BDC,15439,,,,,
BEAN,174,,,,,
BELL,785,,,,,
6183,11000,,,,,
BGL,280924,,,,,
9997,18900,,,,,
BWY,46480,,,,,
BHE,13300,,,,,
BEN,196966,,,,,
2412,21800,,,,,
9783,24700,,,,,
BEN,10385,,,,,
BERA,109865,,,,,
BERGEPAINT,103505,,,,,
BJCORP,1148433,,,,,
BJTOTO,275256,,,,,
BKG,46454,,,,,
BLI,9474,,,,,
BRK.A,111,,,,,
BRK.B,567518,,,,,
BHLB,15143,,,,,
BJC-F,384984,,,,,
BAUTO,320120,,,,,
BEKN,350,,,,,
000710,8600,,,,,
BERY,50552,,,,,
BDT,1140,,,,,
2515,560000,,,,,
BESALCO,138378,,,,,
BBY,89503,,,,,
BEST,70614,,,,,
CGN,90400,,,,,
600681,77700,,,,,
603596,16400,,,,,
BETS B,43587,,,,,
300558,4900,,,,,
BYND,21870,,,,,
BEZQ,762441,,,,,
BGCP,121014,,,,,
027410,16233,,,,,
282330,2109,,,,,
